hook_id,disposition,file_path,symbol_or_class,monitor_type,metric_names,measured_boundary,dimensions,sampling_cardinality_policy,overhead_guard,privacy_rule,optimizing_python_strategy_coverage
hook-0001,production hook,MistHelper.py,_dispatch_main_mode,operation_span,"perf.wall_ns,perf.process_cpu_ns,perf.calls_total,perf.errors_total,work.items_total",Measure the complete named operation from entry through cleanup. Correlate nested costs with cProfile.,"file,symbol,operation,status,workload_size,state",Off by default. Enable for a named operation. Sample at most 1 in 100 successful calls. Keep all failures.,Use perf_counter_ns and process_time_ns only. Buffer events. Do not time each internal function.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 7 measured Python loops
hook-0002,production hook,MistHelper.py,_establish_mist_session,http_transport,"http.wall_ns,http.process_cpu_ns,http.requests_total,http.retries_total,http.pages_total,http.request_bytes,http.response_bytes,http.items_total,http.status_total","Measure the transport call, each retry, each page, and response decoding as separate nonoverlapping stages.","file,symbol,endpoint_template,method,status_class,retry_reason,page_bucket,workload_size,state",Count every request. Sample timing for at most 1 in 20 successes. Keep all retries and failures. Never label raw URLs or identifiers.,Use monotonic nanosecond clocks. Reuse transport metadata. Do not serialize payloads to measure their size.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",2 I/O/sequential batching; 5 serialization/validation; 6 bounded caching
hook-0003,aggregate boundary only,mist-ops-platform/src/api/deps.py,get_db_session,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
hook-0004,production hook,mist-ops-platform/src/api/main.py,lifespan,startup_import,"startup.wall_ns,startup.process_cpu_ns,startup.import_self_ns,startup.import_cumulative_ns,startup.modules_total,startup.first_use_wall_ns",Measure a fresh process to useful readiness. Collect import attribution with Python -X importtime in a separate run.,"file,symbol,entrypoint,phase,cold_or_warm,platform,python_version",Run only in a benchmark or bounded startup diagnostic. Collect at least three independent process starts.,Do not run importtime in normal service operation. Measure deferred first use separately.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",4 allocations/copying; 5 serialization/validation; 9 startup/imports; 10 native acceleration
hook-0005,aggregate boundary only,mist-ops-platform/src/api/middleware/auth.py,CurrentUser,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
hook-0006,production hook,mist-ops-platform/src/api/middleware/logging.py,StructuredLoggingMiddleware.dispatch,operation_span,"perf.wall_ns,perf.process_cpu_ns,perf.calls_total,perf.errors_total,work.items_total",Measure the complete named operation from entry through cleanup. Correlate nested costs with cProfile.,"file,symbol,operation,status,workload_size,state",Off by default. Enable for a named operation. Sample at most 1 in 100 successful calls. Keep all failures.,Use perf_counter_ns and process_time_ns only. Buffer events. Do not time each internal function.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 7 measured Python loops
hook-0007,aggregate boundary only,mist-ops-platform/src/api/middleware/rate_limit.py,OrgRateLimiter,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
hook-0008,aggregate boundary only,mist-ops-platform/src/api/routes/audit.py,list_audit_records,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
hook-0009,aggregate boundary only,mist-ops-platform/src/api/routes/config.py,list_revisions,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
hook-0010,aggregate boundary only,mist-ops-platform/src/api/routes/deploy.py,list_jobs,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
